raceId,year,Age
1,2009,28.15
2,2009,28.15
3,2009,28.15
4,2009,28.15
5,2009,28.15
6,2009,28.15
7,2009,28.15
8,2009,28.15
9,2009,28.15
10,2009,27.6
11,2009,28.05
12,2009,28.05
13,2009,27.6
14,2009,27.6
15,2009,27.6
16,2009,27.4
17,2009,27.4
18,2008,28.181818181818183
19,2008,28.181818181818183
20,2008,28.181818181818183
21,2008,28.181818181818183
22,2008,28.0
23,2008,28.0
24,2008,28.0
25,2008,28.0
26,2008,28.0
27,2008,28.0
28,2008,28.0
29,2008,28.0
30,2008,28.0
31,2008,28.0
32,2008,28.0
33,2008,28.0
34,2008,28.0
35,2008,28.0
36,2007,28.40909090909091
37,2007,28.40909090909091
38,2007,28.40909090909091
39,2007,28.40909090909091
40,2007,28.40909090909091
41,2007,28.40909090909091
42,2007,28.272727272727273
43,2007,28.40909090909091
44,2007,28.40909090909091
45,2007,28.363636363636363
46,2007,28.09090909090909
47,2007,28.09090909090909
48,2007,28.09090909090909
49,2007,28.09090909090909
50,2007,28.09090909090909
51,2007,28.09090909090909
52,2007,27.59090909090909
53,2006,29.09090909090909
54,2006,29.09090909090909
55,2006,29.09090909090909
56,2006,29.09090909090909
57,2006,28.954545454545453
58,2006,28.954545454545453
59,2006,28.954545454545453
60,2006,28.954545454545453
61,2006,28.954545454545453
62,2006,28.954545454545453
63,2006,29.136363636363637
64,2006,28.954545454545453
65,2006,28.363636363636363
66,2006,28.363636363636363
67,2006,28.363636363636363
68,2006,28.454545454545453
69,2006,28.454545454545453
70,2006,28.454545454545453
71,2005,28.7
72,2005,28.6
73,2005,28.9
74,2005,28.9
75,2005,29.11111111111111
76,2005,29.11111111111111
77,2005,28.85
78,2005,28.7
79,2005,28.65
80,2005,28.7
81,2005,28.7
82,2005,28.65
83,2005,28.65
84,2005,28.65
85,2005,28.5
86,2005,28.5
87,2005,28.5
88,2005,28.5
89,2005,28.5
90,2004,27.85
91,2004,27.85
92,2004,27.85
93,2004,27.85
94,2004,27.85
95,2004,27.85
96,2004,27.85
97,2004,27.7
98,2004,27.85
99,2004,27.9
100,2004,27.9
101,2004,27.6
102,2004,27.45
103,2004,27.45
104,2004,27.45
105,2004,27.7
106,2004,27.8
107,2004,27.3
108,2003,28.8
109,2003,28.8
110,2003,28.8
111,2003,28.8
112,2003,28.8
113,2003,28.8
114,2003,28.8
115,2003,28.8
116,2003,28.8
117,2003,28.8
118,2003,28.8
119,2003,28.9
120,2003,28.6
121,2003,28.65
122,2003,28.9
123,2003,28.6
124,2002,28.90909090909091
125,2002,28.90909090909091
126,2002,28.90909090909091
127,2002,28.90909090909091
128,2002,28.90909090909091
129,2002,28.90909090909091
130,2002,28.90909090909091
131,2002,28.90909090909091
132,2002,28.90909090909091
133,2002,29.047619047619047
134,2002,28.90909090909091
135,2002,29.047619047619047
136,2002,28.7
137,2002,28.7
138,2002,28.85
139,2002,29.55
140,2002,28.85
141,2001,28.136363636363637
142,2001,28.136363636363637
143,2001,28.136363636363637
144,2001,28.136363636363637
145,2001,28.318181818181817
146,2001,28.318181818181817
147,2001,28.318181818181817
148,2001,27.90909090909091
149,2001,28.318181818181817
150,2001,28.318181818181817
151,2001,28.318181818181817
152,2001,27.90909090909091
153,2001,28.318181818181817
154,2001,28.318181818181817
155,2001,28.272727272727273
156,2001,28.272727272727273
157,2001,28.272727272727273
158,2000,28.727272727272727
159,2000,28.727272727272727
160,2000,28.727272727272727
161,2000,28.727272727272727
162,2000,28.727272727272727
163,2000,29.0
164,2000,28.727272727272727
165,2000,28.727272727272727
166,2000,28.727272727272727
167,2000,28.272727272727273
168,2000,28.727272727272727
169,2000,28.727272727272727
170,2000,28.727272727272727
171,2000,28.727272727272727
172,2000,28.727272727272727
173,2000,28.727272727272727
174,2000,28.727272727272727
175,1999,29.227272727272727
176,1999,29.045454545454547
177,1999,29.681818181818183
178,1999,29.681818181818183
179,1999,29.681818181818183
180,1999,29.227272727272727
181,1999,29.227272727272727
182,1999,29.227272727272727
183,1999,29.363636363636363
184,1999,29.363636363636363
185,1999,29.363636363636363
186,1999,29.363636363636363
187,1999,29.363636363636363
188,1999,29.363636363636363
189,1999,29.227272727272727
190,1999,29.227272727272727
191,1998,28.318181818181817
192,1998,28.318181818181817
193,1998,28.318181818181817
194,1998,28.318181818181817
195,1998,28.238095238095237
196,1998,28.318181818181817
197,1998,28.318181818181817
198,1998,28.363636363636363
199,1998,28.363636363636363
200,1998,28.363636363636363
201,1998,28.285714285714285
202,1998,28.285714285714285
203,1998,28.363636363636363
204,1998,28.363636363636363
205,1998,28.363636363636363
206,1998,28.363636363636363
207,1997,29.041666666666668
208,1997,28.954545454545453
209,1997,28.954545454545453
210,1997,28.954545454545453
211,1997,28.954545454545453
212,1997,28.772727272727273
213,1997,28.09090909090909
214,1997,27.318181818181817
