statusId,year
1,2008
1,2008
1,2008
1,2008
1,2008
11,2008
5,2008
5,2008
4,2008
3,2008
7,2008
8,2008
5,2008
4,2008
10,2008
9,2008
4,2008
4,2008
4,2008
4,2008
4,2008
2,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
11,2008
11,2008
11,2008
11,2008
12,2008
12,2008
5,2008
20,2008
9,2008
4,2008
20,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
11,2008
11,2008
11,2008
11,2008
11,2008
11,2008
11,2008
12,2008
6,2008
4,2008
5,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
11,2008
11,2008
11,2008
11,2008
5,2008
5,2008
4,2008
3,2008
21,2008
4,2008
4,2008
4,2008
4,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
11,2008
11,2008
11,2008
11,2008
11,2008
11,2008
11,2008
22,2008
4,2008
4,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
11,2008
11,2008
11,2008
11,2008
14,2008
4,2008
3,2008
3,2008
6,2008
3,2008
4,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
11,2008
20,2008
3,2008
20,2008
23,2008
4,2008
4,2008
6,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
11,2008
11,2008
11,2008
11,2008
11,2008
11,2008
4,2008
1,2008
1,2008
1,2008
11,2008
11,2008
11,2008
11,2008
11,2008
11,2008
11,2008
11,2008
11,2008
12,2008
20,2008
20,2008
20,2008
20,2008
20,2008
4,2008
4,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
11,2008
4,2008
5,2008
22,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
11,2008
11,2008
11,2008
11,2008
12,2008
5,2008
13,2008
23,2008
25,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
11,2008
11,2008
11,2008
11,2008
11,2008
11,2008
5,2008
3,2008
4,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
6,2008
11,2008
11,2008
11,2008
11,2008
11,2008
11,2008
11,2008
20,2008
6,2008
20,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
11,2008
11,2008
11,2008
12,2008
3,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
3,2008
9,2008
3,2008
7,2008
26,2008
3,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
11,2008
11,2008
11,2008
6,2008
5,2008
27,2008
28,2008
4,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
11,2008
11,2008
11,2008
9,2008
5,2008
4,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
11,2008
11,2008
11,2008
11,2008
11,2008
11,2008
12,2008
12,2008
12,2008
3,2008
4,2008
1,2007
1,2007
1,2007
1,2007
1,2007
1,2007
11,2007
11,2007
11,2007
11,2007
11,2007
11,2007
11,2007
11,2007
11,2007
12,2007
12,2007
4,2007
4,2007
6,2007
29,2007
3,2007
1,2007
1,2007
1,2007
1,2007
1,2007
1,2007
1,2007
1,2007
1,2007
1,2007
11,2007
11,2007
11,2007
11,2007
11,2007
11,2007
11,2007
